Change (8, 5) to 6
Change (8, 0) to 8
Change (0, 0) to 9
Change (0, 8) to 8
Change (2, 6) to 4
Change (5, 8) to 5
Change (5, 5) to 2
Change (7, 7) to 8
Change (3, 7) to 2
Change (4, 0) to 2
Change (4, 2) to 8
Change (4, 6) to 3
Change (3, 6) to 7
Change (3, 1) to 6
Change (3, 0) to 3
Change (5, 2) to 1
Change (5, 1) to 7
Change (2, 1) to 8
Change (1, 1) to 4
Change (7, 1) to 1
Change (5, 7) to 9
Change (5, 3) to 6
Change (1, 0) to 7
Change (1, 8) to 3
Change (6, 2) to 4
Change (1, 3) to 8
Change (3, 5) to 8
Change (2, 8) to 9
Change (7, 8) to 2
Change (6, 8) to 7
Change (6, 7) to 3
Change (6, 5) to 5
Change (2, 5) to 3
Change (7, 5) to 4
Change (6, 0) to 6
Change (7, 0) to 5
Change (7, 4) to 9
Change (4, 4) to 7
Change (4, 3) to 9
Change (7, 3) to 3
Change (8, 4) to 1
Change (8, 3) to 7
Change (8, 6) to 9
Change (7, 6) to 6
Change (6, 6) to 1
Change (6, 3) to 2
Change (2, 3) to 5
Change (3, 3) to 4
Change (0, 3) to 1
Change (0, 7) to 6
Change (1, 7) to 1
Change (2, 7) to 7
Change (0, 2) to 2
Change (0, 4) to 4
Change (3, 4) to 5
Change (1, 4) to 6
Change (1, 2) to 5
Change (2, 2) to 6
Change (2, 4) to 2